ASCII SAMPLE CYCLES :			synecho6803_brd_temp36-31-36_whitel300.mdc
DATE :	26.11.2025	TIME :	11:33:31 odp.
CONVERTED CYCLES :			5261
Number of stored cycles			5261
Printed start cycle			1
Printed end cycle			5261
Number of stored datablocks			2
Datablock 0	Ion Current	[A]	
'0/0'	17.94	min:	9.22911E-010	max:	1.67387E-009	
'0/1'	27.75	min:	4.27391E-008	max:	4.4986E-008	
'0/2'	31.72	min:	1.83275E-008	max:	1.94882E-008	
'0/3'	35.87	min:	8.61726E-008	max:	8.69342E-008	
'0/4'	40.03	min:	3.46578E-008	max:	3.51229E-008	
'0/5'	43.72	min:	1.64506E-009	max:	1.67387E-009	
Datablock 1	PKR	[mbar]	
'1/0'	PKR	min:	1.744E-007	max:	2.362E-007	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	'0/4'	'0/5'	'1/0'	
60	26.11.2025	11:35:07:77 odp.	96.775	1.79313E-007	4.89453E-008	2.15245E-008	8.29139E-008	3.40133E-008	1.74284E-009	2.328E-007	
61	26.11.2025	11:35:09:41 odp.	98.414	1.79167E-007	4.90149E-008	2.156E-008	8.27623E-008	3.39645E-008	1.74199E-009	2.325E-007	
62	26.11.2025	11:35:11:05 odp.	100.054	1.79155E-007	4.90796E-008	2.1597E-008	8.26933E-008	3.39437E-008	1.74955E-009	2.331E-007	
63	26.11.2025	11:35:12:69 odp.	101.694	1.79118E-007	4.91882E-008	2.16421E-008	8.26337E-008	3.39535E-008	1.75297E-009	2.328E-007	
64	26.11.2025	11:35:14:33 odp.	103.334	1.79215E-007	4.92785E-008	2.16929E-008	8.25567E-008	3.39059E-008	1.75078E-009	2.325E-007	
65	26.11.2025	11:35:15:97 odp.	104.975	1.79229E-007	4.93811E-008	2.17217E-008	8.24149E-008	3.3857E-008	1.74589E-009	2.309E-007	
66	26.11.2025	11:35:17:61 odp.	106.614	1.79144E-007	4.9386E-008	2.17466E-008	8.22233E-008	3.37362E-008	1.74862E-009	2.325E-007	
67	26.11.2025	11:35:19:25 odp.	108.255	1.79179E-007	4.94097E-008	2.17582E-008	8.20453E-008	3.3702E-008	1.75273E-009	2.325E-007	
68	26.11.2025	11:35:20:89 odp.	109.896	1.79106E-007	4.94567E-008	2.17905E-008	8.18403E-008	3.36007E-008	1.75175E-009	2.317E-007	
69	26.11.2025	11:35:22:53 odp.	111.536	1.79071E-007	4.94048E-008	2.1791E-008	8.1621E-008	3.35177E-008	1.76127E-009	2.334E-007	
70	26.11.2025	11:35:24:17 odp.	113.179	1.79008E-007	4.93872E-008	2.17804E-008	8.13779E-008	3.3466E-008	1.75688E-009	2.295E-007	
71	26.11.2025	11:35:25:81 odp.	114.818	1.79095E-007	4.94446E-008	2.1797E-008	8.12397E-008	3.34273E-008	1.75923E-009	2.32E-007	
72	26.11.2025	11:35:27:46 odp.	116.46	1.78866E-007	4.9469E-008	2.18063E-008	8.09726E-008	3.33044E-008	1.75712E-009	2.311E-007	
73	26.11.2025	11:35:29:10 odp.	118.1	1.78251E-007	4.94726E-008	2.17999E-008	8.069E-008	3.31795E-008	1.75798E-009	2.314E-007	
74	26.11.2025	11:35:30:73 odp.	119.737	1.77563E-007	4.93445E-008	2.1772E-008	8.03294E-008	3.30855E-008	1.75761E-009	2.278E-007	
75	26.11.2025	11:35:32:37 odp.	121.378	1.77442E-007	4.92883E-008	2.17407E-008	8.00845E-008	3.29647E-008	1.75297E-009	2.297E-007	
76	26.11.2025	11:35:34:01 odp.	123.017	1.76921E-007	4.92372E-008	2.17351E-008	7.97788E-008	3.28267E-008	1.75773E-009	2.309E-007	
77	26.11.2025	11:35:35:65 odp.	124.655	1.76234E-007	4.922E-008	2.17062E-008	7.95167E-008	3.27315E-008	1.75163E-009	2.309E-007	
78	26.11.2025	11:35:37:29 odp.	126.295	1.75895E-007	4.91638E-008	2.1705E-008	7.92911E-008	3.26754E-008	1.75969E-009	2.287E-007	
79	26.11.2025	11:35:38:93 odp.	127.935	1.75986E-007	4.91395E-008	2.16671E-008	7.89928E-008	3.25655E-008	1.74992E-009	2.303E-007	
80	26.11.2025	11:35:40:57 odp.	129.577	1.75707E-007	4.90564E-008	2.16699E-008	7.87719E-008	3.24556E-008	1.75529E-009	2.287E-007	
81	26.11.2025	11:35:42:21 odp.	131.215	1.75493E-007	4.90515E-008	2.16645E-008	7.85704E-008	3.24031E-008	1.75627E-009	2.292E-007	
82	26.11.2025	11:35:43:85 odp.	132.855	1.75224E-007	4.90173E-008	2.1673E-008	7.83698E-008	3.23494E-008	1.76127E-009	2.265E-007	
83	26.11.2025	11:35:45:49 odp.	134.495	1.75284E-007	4.90744E-008	2.16798E-008	7.82394E-008	3.2264E-008	1.76005E-009	2.27E-007	
84	26.11.2025	11:35:47:13 odp.	136.135	1.7514E-007	4.906E-008	2.17055E-008	7.81323E-008	3.2253E-008	1.762E-009	2.278E-007	
85	26.11.2025	11:35:48:77 odp.	137.775	1.75211E-007	4.91443E-008	2.17244E-008	7.80579E-008	3.21883E-008	1.75981E-009	2.292E-007	
86	26.11.2025	11:35:50:41 odp.	139.415	1.75212E-007	4.91809E-008	2.17478E-008	7.79411E-008	3.21761E-008	1.76457E-009	2.276E-007	
87	26.11.2025	11:35:52:05 odp.	141.054	1.75128E-007	4.92309E-008	2.17765E-008	7.78823E-008	3.21175E-008	1.76555E-009	2.278E-007	
88	26.11.2025	11:35:53:69 odp.	142.693	1.74931E-007	4.93054E-008	2.18221E-008	7.78056E-008	3.21345E-008	1.75786E-009	2.276E-007	
89	26.11.2025	11:35:55:33 odp.	144.333	1.74825E-007	4.93848E-008	2.18423E-008	7.77009E-008	3.20984E-008	1.76176E-009	2.292E-007	
90	26.11.2025	11:35:56:97 odp.	145.971	1.74577E-007	4.93795E-008	2.18688E-008	7.75645E-008	3.20406E-008	1.75749E-009	2.287E-007	
91	26.11.2025	11:35:58:61 odp.	147.615	1.74186E-007	4.93982E-008	2.18672E-008	7.74274E-008	3.20101E-008	1.75566E-009	2.268E-007	
92	26.11.2025	11:36:00:25 odp.	149.255	1.74247E-007	4.94311E-008	2.18946E-008	7.7299E-008	3.19539E-008	1.76567E-009	2.273E-007	
93	26.11.2025	11:36:01:89 odp.	150.895	1.74125E-007	4.94861E-008	2.19116E-008	7.7206E-008	3.19476E-008	1.76982E-009	2.273E-007	
94	26.11.2025	11:36:03:53 odp.	152.534	1.74076E-007	4.95215E-008	2.19648E-008	7.71345E-008	3.19319E-008	1.76945E-009	2.257E-007	
95	26.11.2025	11:36:05:17 odp.	154.173	1.73933E-007	4.9602E-008	2.19759E-008	7.70988E-008	3.18562E-008	1.77446E-009	2.249E-007	
96	26.11.2025	11:36:06:81 odp.	155.815	1.73625E-007	4.97046E-008	2.20169E-008	7.70312E-008	3.18697E-008	1.76738E-009	2.27E-007	
97	26.11.2025	11:36:08:45 odp.	157.455	1.73466E-007	4.97485E-008	2.2056E-008	7.70413E-008	3.18716E-008	1.76823E-009	2.265E-007	
98	26.11.2025	11:36:10:09 odp.	159.096	1.7339E-007	4.98303E-008	2.20781E-008	7.69694E-008	3.18535E-008	1.77409E-009	2.257E-007	
99	26.11.2025	11:36:11:73 odp.	160.738	1.73295E-007	4.98828E-008	2.21229E-008	7.69406E-008	3.18526E-008	1.77531E-009	2.257E-007	
100	26.11.2025	11:36:13:37 odp.	162.378	1.73137E-007	5.00012E-008	2.21618E-008	7.68776E-008	3.18575E-008	1.77226E-009	2.273E-007	
101	26.11.2025	11:36:15:01 odp.	164.016	1.73051E-007	5.01428E-008	2.22038E-008	7.68339E-008	3.18013E-008	1.77446E-009	2.278E-007	
102	26.11.2025	11:36:16:65 odp.	165.656	1.73004E-007	5.01685E-008	2.22232E-008	7.67654E-008	3.17684E-008	1.77844E-009	2.246E-007	
103	26.11.2025	11:36:18:29 odp.	167.295	1.72953E-007	5.02194E-008	2.22387E-008	7.66535E-008	3.17574E-008	1.78142E-009	2.265E-007	
104	26.11.2025	11:36:19:93 odp.	168.934	1.72868E-007	5.02092E-008	2.22518E-008	7.65449E-008	3.17136E-008	1.77702E-009	2.268E-007	
105	26.11.2025	11:36:21:57 odp.	170.577	1.72795E-007	5.02356E-008	2.22709E-008	7.63773E-008	3.16707E-008	1.77202E-009	2.26E-007	
