Sourcefile	20130524 151844 Tomas CO2+ethylene_faraday.qmp													
Exporttime	24.5.2013 17:40:45													
														
Start Time	24.5.2013 15:18:55,606													
End Time  	24.5.2013 17:40:45,656													
														
		14			26			32			40			44
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]
24.5.2013 15:22:36	220,733	1,673599E-011	24.5.2013 15:22:36	221,275	7,592991E-013	24.5.2013 15:22:37	221,814	1,604738E-010	24.5.2013 15:22:37	222,353	1,476546E-011	24.5.2013 15:22:38	222,892	5,922261E-012
24.5.2013 15:22:39	223,434	1,665258E-011	24.5.2013 15:22:39	223,973	7,587297E-013	24.5.2013 15:22:40	224,513	1,598309E-010	24.5.2013 15:22:40	225,052	1,476169E-011	24.5.2013 15:22:41	225,592	5,928494E-012
24.5.2013 15:22:41	226,131	1,672272E-011	24.5.2013 15:22:42	226,671	7,579898E-013	24.5.2013 15:22:42	227,21	1,603198E-010	24.5.2013 15:22:43	227,748	1,47699E-011	24.5.2013 15:22:43	228,289	5,934318E-012
24.5.2013 15:22:44	228,827	1,674767E-011	24.5.2013 15:22:44	229,368	7,603999E-013	24.5.2013 15:22:45	229,908	1,601379E-010	24.5.2013 15:22:46	230,449	1,472661E-011	24.5.2013 15:22:46	230,988	5,946064E-012
24.5.2013 15:22:47	231,529	1,672257E-011	24.5.2013 15:22:47	232,069	7,616428E-013	24.5.2013 15:22:48	232,609	1,603907E-010	24.5.2013 15:22:48	233,15	1,477619E-011	24.5.2013 15:22:49	233,688	5,946568E-012
24.5.2013 15:22:49	234,229	1,673627E-011	24.5.2013 15:22:50	234,768	7,634252E-013	24.5.2013 15:22:50	235,306	1,598529E-010	24.5.2013 15:22:51	235,841	1,471857E-011	24.5.2013 15:22:51	236,377	5,957234E-012
24.5.2013 15:22:52	236,912	1,671885E-011	24.5.2013 15:22:53	237,45	7,625091E-013	24.5.2013 15:22:53	237,986	1,602698E-010	24.5.2013 15:22:54	238,523	1,476944E-011	24.5.2013 15:22:54	239,06	5,954178E-012
24.5.2013 15:22:55	239,596	1,672406E-011	24.5.2013 15:22:55	240,135	7,651581E-013	24.5.2013 15:22:56	240,671	1,637941E-010	24.5.2013 15:22:56	241,209	1,470371E-011	24.5.2013 15:22:57	241,745	5,942546E-012
24.5.2013 15:22:57	242,282	1,660956E-011	24.5.2013 15:22:58	242,821	7,764827E-013	24.5.2013 15:22:58	243,357	1,596646E-010	24.5.2013 15:22:59	243,893	1,473036E-011	24.5.2013 15:23:00	244,43	5,912349E-012
24.5.2013 15:23:00	244,967	1,66972E-011	24.5.2013 15:23:01	245,504	7,840774E-013	24.5.2013 15:23:01	246,042	1,60108E-010	24.5.2013 15:23:02	246,576	1,474781E-011	24.5.2013 15:23:02	247,112	5,923391E-012
