Sourcefile	20131107 111108 Tomas CO2+ethylene_faraday.qmp
Exporttime	7.11.2013 14:12:07

Start Time	7.11.2013 11:12:45,713
End Time  	7.11.2013 14:12:07,159

		14			26			32			40			44			18			TP86	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
7.11.2013 11:15:10	144,881	9,060398e-012	7.11.2013 11:15:11	145,418	3,951880e-012	7.11.2013 11:15:11	145,954	1,184281e-012	7.11.2013 11:15:12	146,492	1,095605e-013	7.11.2013 11:15:12	147,030	2,568297e-013	7.11.2013 11:15:15	150,005	2,633405e-011	7.11.2013 11:15:15	149,944	1,845776e-006	
7.11.2013 11:15:13	147,711	9,052589e-012	7.11.2013 11:15:13	148,248	3,964192e-012	7.11.2013 11:15:14	148,786	1,144451e-012	7.11.2013 11:15:15	149,323	9,495975e-014	7.11.2013 11:15:15	149,860	2,514068e-013	7.11.2013 11:15:18	152,841	2,624161e-011	7.11.2013 11:15:18	152,780	1,854446e-006	
7.11.2013 11:15:16	150,542	9,065066e-012	7.11.2013 11:15:16	151,079	3,973325e-012	7.11.2013 11:15:17	151,618	9,965467e-013	7.11.2013 11:15:17	152,155	7,904318e-014	7.11.2013 11:15:18	152,694	2,524673e-013	7.11.2013 11:15:21	155,678	2,606968e-011	7.11.2013 11:15:21	155,616	1,845776e-006	
7.11.2013 11:15:19	153,378	9,062321e-012	7.11.2013 11:15:19	153,917	3,984975e-012	7.11.2013 11:15:20	154,457	9,777871e-013	7.11.2013 11:15:20	154,995	8,060277e-014	7.11.2013 11:15:21	155,531	2,411775e-013	7.11.2013 11:15:24	158,516	2,670150e-011	7.11.2013 11:15:24	158,454	1,863155e-006	
7.11.2013 11:15:21	156,218	9,344007e-012	7.11.2013 11:15:22	156,754	4,068490e-012	7.11.2013 11:15:23	157,294	1,002513e-012	7.11.2013 11:15:23	157,832	7,128981e-014	7.11.2013 11:15:24	158,370	2,456326e-013	7.11.2013 11:15:27	161,350	2,625934e-011	7.11.2013 11:15:27	161,288	1,854446e-006	
7.11.2013 11:15:24	159,052	9,104295e-012	7.11.2013 11:15:25	159,590	4,016900e-012	7.11.2013 11:15:25	160,128	8,843600e-013	7.11.2013 11:15:26	160,666	7,037757e-014	7.11.2013 11:15:26	161,203	2,428103e-013	7.11.2013 11:15:29	164,181	2,588716e-011	7.11.2013 11:15:29	164,119	1,845776e-006	
7.11.2013 11:15:27	161,887	9,086436e-012	7.11.2013 11:15:28	162,423	4,006774e-012	7.11.2013 11:15:28	162,962	9,315377e-013	7.11.2013 11:15:29	163,500	6,981412e-014	7.11.2013 11:15:29	164,037	2,454025e-013	7.11.2013 11:15:32	167,014	2,576954e-011	7.11.2013 11:15:32	166,952	1,845776e-006	
7.11.2013 11:15:30	164,718	9,091780e-012	7.11.2013 11:15:30	165,255	4,002713e-012	7.11.2013 11:15:31	165,795	9,134080e-013	7.11.2013 11:15:32	166,331	6,151903e-014	7.11.2013 11:15:32	166,870	2,392121e-013	7.11.2013 11:15:35	169,850	2,573737e-011	7.11.2013 11:15:35	169,789	1,854446e-006	
7.11.2013 11:15:33	167,551	9,117420e-012	7.11.2013 11:15:33	168,091	4,008635e-012	7.11.2013 11:15:34	168,629	8,351664e-013	7.11.2013 11:15:34	169,167	6,589028e-014	7.11.2013 11:15:35	169,704	2,364717e-013	7.11.2013 11:15:38	172,684	2,556184e-011	7.11.2013 11:15:38	172,623	1,845776e-006	
7.11.2013 11:15:36	170,387	9,107982e-012	7.11.2013 11:15:36	170,925	4,015305e-012	7.11.2013 11:15:37	171,464	9,154901e-013	7.11.2013 11:15:37	172,001	6,835611e-014	7.11.2013 11:15:38	172,539	2,383217e-013	7.11.2013 11:15:41	175,517	2,567388e-011	7.11.2013 11:15:41	175,456	1,845776e-006	
7.11.2013 11:15:38	173,220	9,125806e-012	7.11.2013 11:15:39	173,759	4,014693e-012	7.11.2013 11:15:40	174,296	8,680077e-013	7.11.2013 11:15:40	174,835	6,045450e-014	7.11.2013 11:15:41	175,371	2,381871e-013	7.11.2013 11:15:44	178,353	2,555808e-011	7.11.2013 11:15:44	178,291	1,845776e-006	
7.11.2013 11:15:41	176,056	9,134747e-012	7.11.2013 11:15:42	176,592	4,030935e-012	7.11.2013 11:15:42	177,130	8,167267e-013	7.11.2013 11:15:43	177,668	6,333750e-014	7.11.2013 11:15:43	178,206	2,364233e-013	7.11.2013 11:15:46	181,186	2,564767e-011	7.11.2013 11:15:46	181,125	1,837149e-006	
7.11.2013 11:15:44	178,889	9,120045e-012	7.11.2013 11:15:45	179,428	4,021691e-012	7.11.2013 11:15:45	179,967	8,909317e-013	7.11.2013 11:15:46	180,504	6,299170e-014	7.11.2013 11:15:46	181,042	2,351947e-013	7.11.2013 11:15:49	184,020	2,548310e-011	7.11.2013 11:15:49	183,959	1,845776e-006	
7.11.2013 11:15:47	181,724	9,140675e-012	7.11.2013 11:15:47	182,262	4,038223e-012	7.11.2013 11:15:48	182,800	8,374850e-013	7.11.2013 11:15:49	183,338	5,676686e-014	7.11.2013 11:15:49	183,875	2,353425e-013	7.11.2013 11:15:52	186,855	2,547970e-011	7.11.2013 11:15:52	186,794	1,837149e-006	
7.11.2013 11:15:50	184,558	9,145372e-012	7.11.2013 11:15:50	185,095	4,045536e-012	7.11.2013 11:15:51	185,635	8,207486e-013	7.11.2013 11:15:51	186,171	6,884630e-014	7.11.2013 11:15:52	186,710	2,351390e-013	7.11.2013 11:15:55	189,689	2,539230e-011	7.11.2013 11:15:55	189,628	1,837149e-006	
7.11.2013 11:15:53	187,392	9,129350e-012	7.11.2013 11:15:53	187,931	4,039230e-012	7.11.2013 11:15:54	188,470	8,806631e-013	7.11.2013 11:15:54	189,008	6,157673e-014	7.11.2013 11:15:55	189,544	2,362014e-013	7.11.2013 11:15:58	192,522	2,527017e-011	7.11.2013 11:15:58	192,460	1,845776e-006	
7.11.2013 11:15:55	190,227	9,161908e-012	7.11.2013 11:15:56	190,764	4,040232e-012	7.11.2013 11:15:57	191,302	8,093085e-013	7.11.2013 11:15:57	191,839	5,568947e-014	7.11.2013 11:15:58	192,376	2,392969e-013	7.11.2013 11:16:01	195,359	2,520007e-011	7.11.2013 11:16:01	195,298	1,837149e-006	
7.11.2013 11:15:58	193,062	9,150655e-012	7.11.2013 11:15:59	193,600	4,043469e-012	7.11.2013 11:15:59	194,138	8,372114e-013	7.11.2013 11:16:00	194,676	6,838943e-014	7.11.2013 11:16:00	195,214	2,375601e-013	7.11.2013 11:16:03	198,198	2,525674e-011	7.11.2013 11:16:03	198,137	1,837149e-006	
7.11.2013 11:16:01	195,898	9,149705e-012	7.11.2013 11:16:02	196,436	4,052412e-012	7.11.2013 11:16:02	196,975	8,754329e-013	7.11.2013 11:16:03	197,514	6,092723e-014	7.11.2013 11:16:03	198,052	2,328631e-013	7.11.2013 11:16:06	201,036	2,518111e-011	7.11.2013 11:16:06	200,974	1,837149e-006	
7.11.2013 11:16:04	198,736	9,152307e-012	7.11.2013 11:16:04	199,274	4,050929e-012	7.11.2013 11:16:05	199,814	7,975540e-013	7.11.2013 11:16:06	200,350	6,133408e-014	7.11.2013 11:16:06	200,890	2,372583e-013	7.11.2013 11:16:09	203,872	2,514369e-011	7.11.2013 11:16:09	203,810	1,828558e-006	
7.11.2013 11:16:07	201,573	9,172964e-012	7.11.2013 11:16:07	202,111	4,050644e-012	7.11.2013 11:16:08	202,651	8,573646e-013	7.11.2013 11:16:08	203,189	6,772711e-014	7.11.2013 11:16:09	203,726	2,345123e-013	7.11.2013 11:16:12	206,705	2,523295e-011	7.11.2013 11:16:12	206,644	1,837149e-006	
7.11.2013 11:16:10	204,409	9,157887e-012	7.11.2013 11:16:10	204,944	4,051020e-012	7.11.2013 11:16:11	205,483	8,611704e-013	7.11.2013 11:16:11	206,021	5,951927e-014	7.11.2013 11:16:12	206,559	2,350851e-013	7.11.2013 11:16:15	209,539	2,518021e-011	7.11.2013 11:16:15	209,479	1,837149e-006	
7.11.2013 11:16:12	207,242	9,185658e-012	7.11.2013 11:16:13	207,781	4,062879e-012	7.11.2013 11:16:14	208,318	7,909635e-013	7.11.2013 11:16:14	208,857	6,272036e-014	7.11.2013 11:16:15	209,394	2,419986e-013	7.11.2013 11:16:18	212,374	2,512199e-011	7.11.2013 11:16:18	212,312	1,837149e-006	
7.11.2013 11:16:15	210,077	9,167071e-012	7.11.2013 11:16:16	210,614	4,067785e-012	7.11.2013 11:16:16	211,153	8,766512e-013	7.11.2013 11:16:17	211,690	6,595105e-014	7.11.2013 11:16:17	212,228	2,378498e-013	7.11.2013 11:16:20	215,207	2,493543e-011	7.11.2013 11:16:20	215,145	1,837149e-006	
7.11.2013 11:16:18	212,912	9,179987e-012	7.11.2013 11:16:19	213,448	4,063452e-012	7.11.2013 11:16:19	213,987	8,383096e-013	7.11.2013 11:16:20	214,523	6,376300e-014	7.11.2013 11:16:20	215,061	2,411363e-013	7.11.2013 11:16:23	218,040	2,495626e-011	7.11.2013 11:16:23	217,978	1,837149e-006	
7.11.2013 11:16:21	215,743	9,202816e-012	7.11.2013 11:16:21	216,282	4,067460e-012	7.11.2013 11:16:22	216,820	7,837249e-013	7.11.2013 11:16:23	217,357	6,243776e-014	7.11.2013 11:16:23	217,894	2,374800e-013	7.11.2013 11:16:26	220,873	2,494836e-011	7.11.2013 11:16:26	220,813	1,828558e-006	
7.11.2013 11:16:24	218,578	9,177415e-012	7.11.2013 11:16:24	219,115	4,065855e-012	7.11.2013 11:16:25	219,654	8,661375e-013	7.11.2013 11:16:25	220,191	6,183647e-014	7.11.2013 11:16:26	220,729	2,326603e-013	7.11.2013 11:16:29	223,708	2,864406e-011	7.11.2013 11:16:29	223,647	1,871906e-006	
7.11.2013 11:16:27	221,410	9,194148e-012	7.11.2013 11:16:27	221,948	4,074991e-012	7.11.2013 11:16:28	222,487	8,099697e-013	7.11.2013 11:16:28	223,026	5,533392e-014	7.11.2013 11:16:29	223,563	3,112297e-013	7.11.2013 11:16:32	226,546	2,543123e-011	7.11.2013 11:16:32	226,485	1,845776e-006	
7.11.2013 11:16:29	224,247	9,253477e-012	7.11.2013 11:16:30	224,785	4,137978e-012	7.11.2013 11:16:31	225,325	8,139868e-013	7.11.2013 11:16:31	225,861	7,080090e-014	7.11.2013 11:16:32	226,399	2,379597e-013	7.11.2013 11:16:35	229,381	2,507750e-011	7.11.2013 11:16:35	229,320	1,837149e-006	
7.11.2013 11:16:32	227,084	9,193237e-012	7.11.2013 11:16:33	227,622	4,095506e-012	7.11.2013 11:16:33	228,162	8,623667e-013	7.11.2013 11:16:34	228,699	6,184472e-014	7.11.2013 11:16:34	229,236	2,394793e-013	7.11.2013 11:16:37	232,217	2,505551e-011	7.11.2013 11:16:37	232,156	1,837149e-006	
7.11.2013 11:16:35	229,920	9,220581e-012	7.11.2013 11:16:36	230,457	4,099600e-012	7.11.2013 11:16:36	230,994	7,897920e-013	7.11.2013 11:16:37	231,534	5,924676e-014	7.11.2013 11:16:37	232,071	2,372207e-013	7.11.2013 11:16:40	235,049	2,499722e-011	7.11.2013 11:16:40	234,987	1,837149e-006	
7.11.2013 11:16:38	232,755	9,209101e-012	7.11.2013 11:16:39	233,291	4,089610e-012	7.11.2013 11:16:39	233,830	8,316481e-013	7.11.2013 11:16:40	234,367	6,660730e-014	7.11.2013 11:16:40	234,905	2,347773e-013	7.11.2013 11:16:43	237,884	2,482514e-011	7.11.2013 11:16:43	237,822	1,837149e-006	
